---,PartType,DisplayName,ParentPart,BaseHP,BleedMultiplier,InfectionMultiplier,bInstantDeathOnDestruction,DeathTimerOnDestruction,bCausesInternalBleeding,bDisablesMovement,bDisablesGrip,bDisablesVision,bDisablesHearing,bDisablesEating,bHasBone,bIsJoint,bIsOrgan,bCanBeAmputated,Icon,UIPosition,UILayer
Head,"Head","Head","None","150.000000","1.200000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","False","None","(X=0.500000,Y=0.100000)","0"
Brain,"Brain","Brain","Head","50.000000","0.000000","0.000000","True","0.000000","False","False","False","False","False","False","False","False","True","False","None","(X=0.500000,Y=0.080000)","1"
EyeLeft,"EyeLeft","Left Eye","Head","20.000000","0.500000","1.500000","False","0.000000","False","False","False","True","False","False","False","False","True","False","None","(X=0.450000,Y=0.100000)","1"
EyeRight,"EyeRight","Right Eye","Head","20.000000","0.500000","1.500000","False","0.000000","False","False","False","True","False","False","False","False","True","False","None","(X=0.550000,Y=0.100000)","1"
EarLeft,"EarLeft","Left Ear","Head","15.000000","0.300000","1.000000","False","0.000000","False","False","False","False","True","False","False","False","False","True","None","(X=0.400000,Y=0.100000)","1"
EarRight,"EarRight","Right Ear","Head","15.000000","0.300000","1.000000","False","0.000000","False","False","False","False","True","False","False","False","False","True","None","(X=0.600000,Y=0.100000)","1"
Jaw,"Jaw","Jaw","Head","80.000000","0.800000","1.200000","False","0.000000","False","False","False","False","False","True","True","False","False","False","None","(X=0.500000,Y=0.130000)","1"
Torso,"Torso","Torso","None","200.000000","1.000000","1.000000","False","0.000000","False","False","False","False","False","False","True","False","False","False","None","(X=0.500000,Y=0.350000)","0"
Heart,"Heart","Heart","Torso","30.000000","0.000000","0.000000","True","0.000000","True","False","False","False","False","False","False","False","True","False","None","(X=0.480000,Y=0.300000)","1"
LungLeft,"LungLeft","Left Lung","Torso","40.000000","0.000000","1.500000","False","180.000000","False","False","False","False","False","False","False","False","True","False","None","(X=0.450000,Y=0.320000)","1"
LungRight,"LungRight","Right Lung","Torso","40.000000","0.000000","1.500000","False","180.000000","False","False","False","False","False","False","False","False","True","False","None","(X=0.550000,Y=0.320000)","1"
Liver,"Liver","Liver","Torso","60.000000","0.000000","1.200000","False","3600.000000","True","False","False","False","False","False","False","False","True","False","None","(X=0.550000,Y=0.400000)","1"
Stomach,"Stomach","Stomach","Torso","50.000000","0.500000","2.000000","False","7200.000000","True","False","False","False","False","False","False","False","True","False","None","(X=0.500000,Y=0.420000)","1"
