"---","QuestId","DisplayName","Description","bIsTutorial","bAutoStart","Prerequisites","Objectives","SortOrder","Category","Rewards"
"Tutorial_Movement","Tutorial_Movement","NSLOCTEXT(""Quests"", ""Tutorial_Movement_Name"", ""Find Your Feet"")","NSLOCTEXT(""Quests"", ""Tutorial_Movement_Desc"", ""Get used to moving and looking around."")","True","True","","((ObjectiveId=""Move"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Movement_Obj1"", ""Move using the movement keys""),Type=""Event"",TargetEventOrId=""PlayerMoved"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Movement_HintTitle"", ""Move and Look""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Movement_HintBody"", ""Use {key:MoveAction} to walk, and {key:LookAction} to look around.""),bShowAsTutorialPopup=True))","1","Tutorial",""
"Tutorial_Look","Tutorial_Look","NSLOCTEXT(""Quests"", ""Tutorial_Look_Name"", ""Look Around"")","NSLOCTEXT(""Quests"", ""Tutorial_Look_Desc"", ""Turn your head to take in your surroundings."")","True","True","(""Tutorial_Movement"")","((ObjectiveId=""Look"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Look_Obj1"", ""Move the mouse to look around""),Type=""Event"",TargetEventOrId=""PlayerLooked"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Look_HintTitle"", ""Looking Around""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Look_HintBody"", ""Move the mouse to rotate the camera. ({key:LookAction})""),bShowAsTutorialPopup=True))","2","Tutorial",""
"Tutorial_Jump","Tutorial_Jump","NSLOCTEXT(""Quests"", ""Tutorial_Jump_Name"", ""Take a Leap"")","NSLOCTEXT(""Quests"", ""Tutorial_Jump_Desc"", ""You can hop small obstacles."")","True","True","(""Tutorial_Look"")","((ObjectiveId=""Jump"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Jump_Obj1"", ""Press the jump key""),Type=""Event"",TargetEventOrId=""PlayerJumped"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Jump_HintTitle"", ""Jump""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Jump_HintBody"", ""Press {key:JumpAction} to jump.""),bShowAsTutorialPopup=True))","3","Tutorial",""
"Tutorial_Jog","Tutorial_Jog","NSLOCTEXT(""Quests"", ""Tutorial_Jog_Name"", ""Pick Up the Pace"")","NSLOCTEXT(""Quests"", ""Tutorial_Jog_Desc"", ""Tapping the hustle key toggles a sustainable jog."")","True","True","(""Tutorial_Jump"")","((ObjectiveId=""Jog"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Jog_Obj1"", ""Toggle jog mode""),Type=""Event"",TargetEventOrId=""PlayerJogged"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Jog_HintTitle"", ""Jogging""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Jog_HintBody"", ""Tap {key:HustleAction} to toggle jog mode on and off.""),bShowAsTutorialPopup=True))","4","Tutorial",""
"Tutorial_Sprint","Tutorial_Sprint","NSLOCTEXT(""Quests"", ""Tutorial_Sprint_Name"", ""Sprint"")","NSLOCTEXT(""Quests"", ""Tutorial_Sprint_Desc"", ""Holding hustle pushes you into a costly sprint."")","True","True","(""Tutorial_Jog"")","((ObjectiveId=""Sprint"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Sprint_Obj1"", ""Hold to sprint""),Type=""Event"",TargetEventOrId=""PlayerSprinted"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Sprint_HintTitle"", ""Sprinting""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Sprint_HintBody"", ""Hold {key:HustleAction} for a full sprint. Costs more stamina than a jog.""),bShowAsTutorialPopup=True))","5","Tutorial",""
"Tutorial_Crouch","Tutorial_Crouch","NSLOCTEXT(""Quests"", ""Tutorial_Crouch_Name"", ""Stay Low"")","NSLOCTEXT(""Quests"", ""Tutorial_Crouch_Desc"", ""Crouching makes you quieter and harder to see."")","True","True","(""Tutorial_Sprint"")","((ObjectiveId=""Crouch"",Description=NSLOCTEXT(""Quests"", ""Tutorial_Crouch_Obj1"", ""Toggle crouch""),Type=""Event"",TargetEventOrId=""PlayerCrouched"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_Crouch_HintTitle"", ""Crouch""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_Crouch_HintBody"", ""Press {key:CrouchAction} to toggle crouch.""),bShowAsTutorialPopup=True))","6","Tutorial",""
"Tutorial_View","Tutorial_View","NSLOCTEXT(""Quests"", ""Tutorial_View_Name"", ""Switch Shoulder"")","NSLOCTEXT(""Quests"", ""Tutorial_View_Desc"", ""Swap the camera between your left and right shoulder for better visibility."")","True","True","(""Tutorial_Crouch"")","((ObjectiveId=""ToggleView"",Description=NSLOCTEXT(""Quests"", ""Tutorial_View_Obj1"", ""Switch camera shoulder""),Type=""Event"",TargetEventOrId=""ToggledView"",RequiredCount=1,bOptional=False,bSequential=False,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_View_HintTitle"", ""Camera Shoulder""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_View_HintBody"", ""Press {key:ViewAction} to swap which shoulder the camera sits over.""),bShowAsTutorialPopup=True))","7","Tutorial",""
"Tutorial_BuildControls","Tutorial_BuildControls","NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_Name"", ""Build Controls"")","NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_Desc"", ""Learn to rotate and flip placement ghosts."")","True","True","(""Tutorial_View"")","((ObjectiveId=""WaitForOpen"",Description=NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_Obj1"", ""Open the build menu""),Type=""Event"",TargetEventOrId=""OpenedBuildMenu"",RequiredCount=1,bOptional=False,bSequential=True,bShowAsTutorialPopup=False),(ObjectiveId=""Rotate"",Description=NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_Obj2"", ""Rotate the ghost""),Type=""Event"",TargetEventOrId=""RotatedGhost"",RequiredCount=1,bOptional=False,bSequential=True,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_HintTitle"", ""Rotate and Flip""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_BuildControls_HintBody"", ""Rotate the ghost on the ground with {key:RotateBuildingCWAction:Building} and {key:RotateBuildingCCWAction:Building}. Mouse wheel flips it 180°.""),bShowAsTutorialPopup=True))","8","Tutorial",""
"Tutorial_BuildComplete","Tutorial_BuildComplete","NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_Name"", ""Finish a Build"")","NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_Desc"", ""Place a ghost, then add materials to start construction."")","True","True","(""Tutorial_BuildControls"")","((ObjectiveId=""WaitForPlace"",Description=NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_Obj1"", ""Place a building ghost""),Type=""Event"",TargetEventOrId=""PlacedGhost"",RequiredCount=1,bOptional=False,bSequential=True,bShowAsTutorialPopup=False),(ObjectiveId=""ExitBuild"",Description=NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_Obj2"", ""Leave build mode and interact with the ghost""),Type=""Event"",TargetEventOrId=""ExitedBuildMode"",RequiredCount=1,bOptional=False,bSequential=True,HintTitle=NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_HintTitle"", ""Add Materials and Build""),HintBody=NSLOCTEXT(""Quests"", ""Tutorial_BuildComplete_HintBody"", ""Leave build mode with {key:CancelPlacementAction:Building}, then right-click the ghost to add materials and start building, or cancel.""),bShowAsTutorialPopup=True))","9","Tutorial",""
"Tutorial_GatherStone","Tutorial_GatherStone","NSLOCTEXT(""Quests"", ""Tutorial_GatherStone_Name"", ""Gather River Cobbles"")","NSLOCTEXT(""Quests"", ""Tutorial_GatherStone_Desc"", ""River cobbles are the foundation of early tool-making. Find rounded stones near water - their dense, fine-grained structure makes them ideal for knapping."")","True","True","","((ObjectiveId=""PickUpCobbles"",Description=NSLOCTEXT(""Quests"", ""Tutorial_GatherStone_Obj1"", ""Gather 10 river cobbles""),Type=""ItemPickup"",TargetEventOrId=""RiverCobble01"",RequiredCount=10,bOptional=False,bSequential=False))","10","Tutorial",""
"Tutorial_InspectTree","Tutorial_InspectTree","NSLOCTEXT(""Quests"", ""Tutorial_InspectTree_Name"", ""Study the Forest"")","NSLOCTEXT(""Quests"", ""Tutorial_InspectTree_Desc"", ""Understanding trees reveals their hidden potential. Each species offers different resources - some provide straight wood for tools, others yield flexible fibers or medicinal bark."")","True","True","","((ObjectiveId=""InspectTree"",Description=NSLOCTEXT(""Quests"", ""Tutorial_InspectTree_Obj1"", ""Inspect a tree to learn about its resources""),Type=""Event"",TargetEventOrId=""TreeInspected"",RequiredCount=1,bOptional=False,bSequential=False))","20","Tutorial",""
"Tutorial_GatherBark","Tutorial_GatherBark","NSLOCTEXT(""Quests"", ""Tutorial_GatherBark_Name"", ""Harvest Bark"")","NSLOCTEXT(""Quests"", ""Tutorial_GatherBark_Desc"", ""Tree bark has countless uses - from tinder and cordage to containers and medicine. Learn to strip it without damaging the tree."")","True","True","(""Tutorial_InspectTree"")","((ObjectiveId=""GatherBark"",Description=NSLOCTEXT(""Quests"", ""Tutorial_GatherBark_Obj1"", ""Gather 10 pieces of bark""),Type=""ItemPickup"",TargetEventOrId=""Bark01"",RequiredCount=10,bOptional=False,bSequential=False))","30","Tutorial",""
"Tutorial_GatherSticks","Tutorial_GatherSticks","NSLOCTEXT(""Quests"", ""Tutorial_GatherSticks_Name"", ""Collect Fallen Branches"")","NSLOCTEXT(""Quests"", ""Tutorial_GatherSticks_Desc"", ""Fallen branches and sticks are essential resources. Look for dry, sturdy wood that will serve as handles, kindling, or construction material."")","True","True","","((ObjectiveId=""GatherSticks"",Description=NSLOCTEXT(""Quests"", ""Tutorial_GatherSticks_Obj1"", ""Collect 10 sticks""),Type=""ItemPickup"",TargetEventOrId=""Stick01"",RequiredCount=10,bOptional=False,bSequential=False))","40","Tutorial",""
"Tutorial_BuildCampfire","Tutorial_BuildCampfire","NSLOCTEXT(""Quests"", ""Tutorial_BuildCampfire_Name"", ""Build a Campfire"")","NSLOCTEXT(""Quests"", ""Tutorial_BuildCampfire_Desc"", ""Fire was humanitys first great discovery. A campfire provides warmth, light, protection from predators, and the ability to cook food - transforming survival."")","True","True","(""Tutorial_GatherSticks"",""Tutorial_GatherBark"")","((ObjectiveId=""BuildFire"",Description=NSLOCTEXT(""Quests"", ""Tutorial_BuildCampfire_Obj1"", ""Construct a campfire""),Type=""ItemCraft"",TargetEventOrId=""BuildCampfire"",RequiredCount=1,bOptional=False,bSequential=False))","50","Tutorial",""
