---,TreatmentId,DisplayName,Description,TreatsWoundTypes,TreatsConditions,RequiredItemIds,RequiredSkillId,MinimumSkillLevel,TreatmentDuration,BleedReduction,InfectionReduction,HealingSpeedBonus,PainReduction,SkillXPGrant,QualitySkillScaling,SelfTreatmentPenalty,UnreachableForSelf,Icon
ApplyBandage,"ApplyBandage","Apply Bandage","Wrap a cloth bandage around the wound to slow bleeding and protect from infection.","(Laceration,Puncture,BurnFirst,BurnSecond)","()","(Bandage01)","Medicine","0","15.000000","0.700000","0.300000","0.200000","0.200000","10.000000","0.300000","0.200000","(SpineThoracic,SpineLumbar)","None"
ApplyTourniquet,"ApplyTourniquet","Apply Tourniquet","Tightly bind a limb to completely stop blood flow. Last resort for severe bleeding.","(Laceration,Puncture,InternalBleeding)","()","(Tourniquet01)","Medicine","1","8.000000","1.000000","0.000000","0.000000","0.000000","15.000000","0.200000","0.300000","()","None"
SutureLaceration,"SutureLaceration","Suture Wound","Use needle and thread to close a deep wound. Significantly improves healing.","(Laceration)","()","(SutureKit01)","Medicine","3","60.000000","0.900000","0.500000","1.000000","0.100000","30.000000","0.500000","0.400000","(Head,SpineCervical,SpineThoracic,SpineLumbar)","None"
CleanWound,"CleanWound","Clean Wound","Thoroughly clean a wound to prevent infection. Essential first step of treatment.","(Laceration,Puncture,BurnFirst,BurnSecond,BurnThird)","(Infection)","(CleanWater01)","Medicine","0","20.000000","0.000000","0.600000","0.300000","0.100000","8.000000","0.400000","0.100000","()","None"
ApplySplint,"ApplySplint","Apply Splint","Immobilize a fractured bone with sticks and binding to allow proper healing.","(Fracture)","()","(Splint01)","Medicine","2","45.000000","0.500000","0.200000","1.500000","0.300000","25.000000","0.400000","0.500000","(SpineCervical,SpineThoracic,SpineLumbar)","None"
ReduceDislocation,"ReduceDislocation","Reduce Dislocation","Manipulate a dislocated joint back into its socket. Painful but necessary.","(Dislocation)","()","()","Medicine","2","30.000000","0.000000","0.100000","2.000000","0.000000","35.000000","0.600000","0.600000","(ShoulderLeft,ShoulderRight,HipLeft,HipRight)","None"
TreatBurn,"TreatBurn","Treat Burn","Apply cooling and protective dressing to burns. Prevents infection and speeds healing.","(BurnFirst,BurnSecond,BurnThird)","()","(BurnSalve01)","Medicine","1","25.000000","0.200000","0.500000","0.800000","0.500000","20.000000","0.400000","0.200000","()","None"
WarmPatient,"WarmPatient","Warm Patient","Gradually warm a hypothermic patient with blankets and body heat.","()","(Hypothermia)","(Blanket01)","Medicine","0","120.000000","0.000000","0.000000","0.000000","0.000000","15.000000","0.200000","0.000000","()","None"
CoolPatient,"CoolPatient","Cool Patient","Rapidly cool an overheated patient with water and shade.","()","(Hyperthermia)","(CleanWater01)","Medicine","0","90.000000","0.000000","0.000000","0.000000","0.000000","15.000000","0.200000","0.000000","()","None"
AdministerAntibiotics,"AdministerAntibiotics","Administer Antibiotics","Give antibiotics to fight bacterial infections. Highly effective against sepsis.","()","(Infection,Sepsis)","(Antibiotics01)","Medicine","3","10.000000","0.000000","0.800000","0.500000","0.000000","40.000000","0.500000","0.100000","()","None"
TreatShock,"TreatShock","Treat Shock","Position patient properly, keep warm, and elevate legs to treat circulatory shock.","()","(Shock)","(Blanket01)","Medicine","1","60.000000","0.000000","0.000000","0.000000","0.200000","20.000000","0.300000","0.800000","()","None"
RehydratePatient,"RehydratePatient","Rehydrate","Give fluids to treat dehydration. Clean water or electrolyte solution.","()","(Dehydration)","(CleanWater01)","Medicine","0","30.000000","0.000000","0.000000","0.300000","0.000000","10.000000","0.200000","0.000000","()","None"
TreatFoodPoisoning,"TreatFoodPoisoning","Treat Food Poisoning","Administer charcoal and fluids to absorb toxins and prevent dehydration.","()","(FoodPoisoning)","(ActivatedCharcoal01,CleanWater01)","Medicine","1","45.000000","0.000000","0.100000","0.500000","0.200000","20.000000","0.300000","0.100000","()","None"
TreatParasites,"TreatParasites","Antiparasitic Treatment","Administer antiparasitic medicine to eliminate internal parasites.","()","(Parasites)","(Antiparasitic01)","Medicine","2","15.000000","0.000000","0.000000","0.800000","0.100000","30.000000","0.400000","0.000000","()","None"
TreatFrostbite,"TreatFrostbite","Treat Frostbite","Slowly warm frostbitten tissue. Do not rub. Apply protective dressings.","(Frostbite)","()","(Bandage01)","Medicine","1","90.000000","0.000000","0.400000","0.500000","0.300000","25.000000","0.400000","0.300000","()","None"
ApplyPainkiller,"ApplyPainkiller","Administer Painkiller","Give pain medication to reduce suffering and allow function despite injuries.","(Laceration,Puncture,Blunt,BurnSecond,BurnThird,Fracture,Dislocation)","()","(Painkiller01)","Medicine","0","5.000000","0.000000","0.000000","0.100000","0.800000","5.000000","0.100000","0.000000","()","None"
CPR,"CPR","Perform CPR","Cardiopulmonary resuscitation to restore heartbeat and breathing.","()","(Shock)","()","Medicine","2","300.000000","0.000000","0.000000","0.000000","0.000000","50.000000","0.700000","1.000000","()","None"
