---,WoundType,DisplayName,Description,BaseDamageMultiplier,BaseBleedRate,BaseInfectionRisk,BaseHealingTime,bRequiresSuturing,bRequiresSplint,bRequiresReduction,bCanBeBandaged,PainMultiplier,ShockContribution,FunctionImpairment,UIColor,Icon
Laceration,"Laceration","Laceration","A cutting wound with torn skin and tissue. Bleeds heavily and requires stitching for deep cuts.","1.000000","2.500000","0.150000","7200.000000","True","False","False","True","1.200000","15.000000","0.400000","(R=0.800000,G=0.100000,B=0.100000,A=1.000000)","None"
Puncture,"Puncture","Puncture Wound","A deep piercing wound with a small entry point. High infection risk due to depth and potential for debris.","1.200000","1.000000","0.350000","10800.000000","False","False","False","True","1.500000","20.000000","0.500000","(R=0.600000,G=0.000000,B=0.200000,A=1.000000)","None"
Blunt,"Blunt","Blunt Trauma","Crushing or impact damage causing bruising and internal damage. May cause fractures.","0.800000","0.500000","0.050000","5400.000000","False","False","False","False","1.000000","25.000000","0.600000","(R=0.400000,G=0.200000,B=0.500000,A=1.000000)","None"
BurnFirst,"BurnFirst","First Degree Burn","Superficial burn affecting only the outer skin layer. Painful but heals without scarring.","0.500000","0.000000","0.050000","3600.000000","False","False","False","True","1.500000","5.000000","0.200000","(R=1.000000,G=0.400000,B=0.300000,A=1.000000)","None"
BurnSecond,"BurnSecond","Second Degree Burn","Partial thickness burn affecting epidermis and dermis. Blisters and severe pain.","1.000000","0.200000","0.250000","14400.000000","False","False","False","True","2.000000","20.000000","0.500000","(R=1.000000,G=0.300000,B=0.200000,A=1.000000)","None"
BurnThird,"BurnThird","Third Degree Burn","Full thickness burn destroying all skin layers. Nerve damage reduces pain but risk of infection is extreme.","1.500000","0.500000","0.600000","86400.000000","False","False","False","True","0.500000","35.000000","0.900000","(R=0.200000,G=0.100000,B=0.100000,A=1.000000)","None"
Frostbite,"Frostbite","Frostbite","Cold damage causing tissue death. Numbness followed by severe pain when warming.","0.800000","0.100000","0.200000","28800.000000","False","False","False","True","1.800000","10.000000","0.600000","(R=0.400000,G=0.500000,B=0.700000,A=1.000000)","None"
Fracture,"Fracture","Bone Fracture","A break in the bone requiring immobilization to heal. Causes severe pain and function loss.","1.200000","0.800000","0.100000","259200.000000","False","True","False","False","2.500000","40.000000","0.900000","(R=0.900000,G=0.900000,B=0.800000,A=1.000000)","None"
Dislocation,"Dislocation","Joint Dislocation","Joint forced out of its normal position. Requires reduction (putting back in place) before healing.","0.600000","0.100000","0.050000","43200.000000","False","False","True","False","2.000000","30.000000","0.950000","(R=0.700000,G=0.500000,B=0.200000,A=1.000000)","None"
InternalBleeding,"InternalBleeding","Internal Bleeding","Hidden bleeding inside body cavities. No external bleeding but blood loss can be severe.","1.500000","3.500000","0.200000","21600.000000","False","False","False","False","1.000000","35.000000","0.700000","(R=0.500000,G=0.000000,B=0.100000,A=1.000000)","None"
